,bathrooms,bedrooms,has_photo,price,square_feet,address,cityname,state,latitude,longitude,source,time,AC,Alarm,Basketball,Cable or Satellite,Clubhouse,Dishwasher,Doorman,Elevator,Fireplace,Garbage Disposal,Gated,Golf,Gym,Hot Tub,Internet Access,Luxury,Parking,Patio/Deck,Playground,Pool,Refrigerator,Storage,TV,Tennis,View,Washer Dryer,Wood Floors,noamenities,Cats,"Cats,Dogs",Dogs,petsunknown
20,1.0,1.0,1,600,200,addressunknown,Charlotte,NC,35.2016,-80.8124,RentLingo,1576322215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
21,1.0,1.0,1,544,200,501 Chapel Dr,Tallahassee,FL,30.4601,-84.2714,RentLingo,1577359108,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
23,1.0,1.0,1,450,200,addressunknown,Phoenix,AZ,33.5178,-112.0848,RentLingo,1577015539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
24,1.0,1.0,1,750,215,addressunknown,Riverview,FL,27.8492,-82.3155,RentLingo,1577015260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,1.0,1.0,1,2000,219,addressunknown,Lafayette,AL,32.8956,-85.4351,RentLingo,1577359217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
26,1.0,1.0,1,1400,219,addressunknown,San Francisco,CA,37.7599,-122.4379,RentLingo,1577359209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
27,1.0,1.0,1,1095,219,addressunknown,Glen Burnie,MD,39.1634,-76.6165,RentLingo,1577359234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28,1.0,1.0,1,915,219,addressunknown,Littleton,CO,39.5816,-105.0387,RentLingo,1577015007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,1.0,1.0,1,900,219,addressunknown,Waldorf,MD,38.621,-76.9225,RentLingo,1577015319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30,1.0,1.0,1,865,219,addressunknown,Riverview,FL,27.8492,-82.3155,RentLingo,1577015248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
32,1.0,1.0,1,725,219,addressunknown,Aurora,CO,39.6828,-104.8078,RentLingo,1577014995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
33,1.0,1.0,1,650,219,addressunknown,Manassas,VA,38.7418,-77.4684,RentLingo,1577359248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,1.0,1.0,1,650,219,addressunknown,Decatur,GA,33.7416,-84.2614,RentLingo,1577015182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35,1.0,1.0,1,645,219,addressunknown,Tampa,FL,28.0076,-82.4792,RentLingo,1577359235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36,1.0,1.0,1,595,219,addressunknown,Albuquerque,NM,35.1038,-106.611,RentLingo,1577359326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
38,1.0,0.0,1,1195,223,6921 Roosevelt Way NE,Seattle,WA,47.616,-122.3275,RentLingo,1577359975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
39,1.0,0.0,1,1150,225,714 N 95th St,Seattle,WA,47.616,-122.3275,RentLingo,1577360412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,1.0,1.0,1,942,225,420 W Fullerton Parkway,Chicago,IL,41.8625,-87.6825,RentLingo,1577359301,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
41,1.0,0.0,1,1250,228,2037 Yale Avenue E,Seattle,WA,47.616,-122.3275,RentLingo,1577360296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
42,1.0,1.0,1,800,230,addressunknown,Gastonia,NC,35.224,-81.1809,RentLingo,1576666501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
43,1.0,1.0,1,685,230,addressunknown,Wimauma,FL,27.7011,-82.3178,RentLingo,1577015249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
44,1.0,1.0,1,525,230,23 S Pauline Place,Memphis,TN,35.1211,-89.9517,RentLingo,1577359551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
45,1.0,0.0,1,1095,231,1008 North 109th St,Seattle,WA,47.616,-122.3275,RentLingo,1577360334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
46,1.0,0.0,1,1695,232,925 Geary St,San Francisco,CA,37.7599,-122.4379,RentLingo,1577358464,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
48,1.0,1.0,1,775,240,202 E Holly St,Bellingham,WA,48.7871,-122.4437,RentLingo,1577360135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
49,1.0,0.0,1,1299,243,838 NE 66th St,Seattle,WA,47.616,-122.3275,RentLingo,1577359586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
50,1.0,1.0,1,705,245,3321 Eureka St,Anchorage,AK,61.1723,-149.8414,RentLingo,1577359000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,1.0,1.0,1,1800,250,addressunknown,Pacifica,CA,37.6019,-122.4863,RentLingo,1577015133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
52,1.0,1.0,1,1600,250,addressunknown,Marina Del Rey,CA,33.9855,-118.4532,RentLingo,1576322048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
53,1.0,1.0,1,1500,250,22nd Ave,San Francisco,CA,37.7599,-122.4379,RentLingo,1577359213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
54,1.0,1.0,1,1330,250,addressunknown,Studio City,CA,34.145,-118.3898,RentLingo,1577015755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
55,1.0,1.0,1,1310,250,addressunknown,Moorpark,CA,34.2805,-118.8861,RentLingo,1577359152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
56,1.0,1.0,1,1300,250,addressunknown,Torrance,CA,33.8363,-118.333,RentLingo,1577015787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
57,1.0,1.0,1,1295,250,addressunknown,Sacramento,CA,38.5587,-121.432,RentLingo,1577014892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
58,1.0,1.0,1,1255,250,addressunknown,Lake Balboa,CA,34.2017,-118.492,RentLingo,1576322123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
59,1.0,1.0,1,1250,250,addressunknown,Seattle,WA,47.616,-122.3275,RentLingo,1577015295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
60,1.0,1.0,1,1250,250,addressunknown,North Hollywood,CA,34.1881,-118.3905,RentLingo,1575976767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
61,1.0,1.0,1,1200,250,addressunknown,Denver,CO,39.736,-104.9819,RentLingo,1577015008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
62,1.0,1.0,1,1200,250,addressunknown,Aurora,CO,39.6828,-104.8078,RentLingo,1577015098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
63,1.0,1.0,1,1175,250,addressunknown,Brentwood,CA,37.9353,-121.6935,RentLingo,1577359008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
64,1.0,1.0,1,1155,250,2nd St,San Rafael,CA,37.9917,-122.5247,RentLingo,1577015122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
65,1.0,1.0,1,1150,250,addressunknown,North Potomac,MD,39.1088,-77.2384,RentLingo,1577015215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
66,1.0,1.0,1,1145,250,addressunknown,Andover,MA,42.6484,-71.1615,RentLingo,1577359272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
67,1.0,1.0,1,1135,250,addressunknown,Oakland,CA,37.7904,-122.2151,RentLingo,1577359210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
68,1.0,1.0,1,1115,250,17th St,San Pablo,CA,37.9724,-122.3304,RentLingo,1577359208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
69,1.0,0.0,1,1095,250,1409 W Diversey Parkway,Chicago,IL,41.8625,-87.6825,RentLingo,1577016975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
70,1.0,1.0,1,1090,250,addressunknown,Alexandria,VA,38.7999,-77.1072,RentLingo,1577359248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
71,1.0,1.0,1,1075,250,addressunknown,Chicago,IL,41.8625,-87.6825,RentLingo,1577015605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
72,1.0,1.0,1,1050,250,addressunknown,Thousand Oaks,CA,34.2009,-118.8636,RentLingo,1577359156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
73,1.0,1.0,1,1050,250,addressunknown,Denver,CO,39.736,-104.9819,RentLingo,1577359188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
74,1.0,1.0,1,1045,250,addressunknown,Burke,VA,38.786,-77.2858,RentLingo,1577015325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
75,1.0,1.0,1,1025,250,100th Avenue NE,Bellevue,WA,47.5988,-122.1507,RentLingo,1577359245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
77,1.0,1.0,1,1005,250,addressunknown,Wilton,CA,38.3918,-121.2234,RentLingo,1577014891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
78,1.0,1.0,1,1000,250,addressunknown,Woodland Hills,CA,34.1677,-118.6141,RentLingo,1577359157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
79,1.0,1.0,1,1000,250,addressunknown,Miami,FL,25.7603,-80.3005,RentLingo,1577359231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
80,1.0,1.0,1,1000,250,addressunknown,Hyattsville,MD,38.9633,-76.9375,RentLingo,1577359233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
81,1.0,1.0,1,1000,250,addressunknown,Westminster,CO,39.8644,-105.0454,RentLingo,1577015098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
82,1.0,1.0,1,1000,250,addressunknown,Aurora,CO,39.6828,-104.8078,RentLingo,1577015002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
83,1.0,1.0,1,1000,250,addressunknown,Arvada,CO,39.8228,-105.1107,RentLingo,1577015097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
84,1.0,1.0,1,1000,250,addressunknown,Seal Beach,CA,33.7606,-118.0806,RentLingo,1576666443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
85,1.0,1.0,1,975,250,addressunknown,San Marcos,CA,33.1463,-117.1694,RentLingo,1577359240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
86,1.0,1.0,1,965,250,addressunknown,Medford Lakes,NJ,39.8587,-74.8101,RentLingo,1577015665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
87,1.0,1.0,1,955,250,addressunknown,Glen Burnie,MD,39.1634,-76.6165,RentLingo,1577359262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
88,1.0,1.0,1,950,250,addressunknown,Littleton,CO,39.5816,-105.0387,RentLingo,1577015096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
89,1.0,1.0,1,950,250,addressunknown,Aurora,CO,39.6828,-104.8078,RentLingo,1577015098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
90,1.0,1.0,1,930,250,addressunknown,Concord,CA,37.9682,-122.0091,RentLingo,1577015146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
91,1.0,1.0,1,925,250,addressunknown,Lafayette,CO,39.9999,-105.0993,RentLingo,1577358925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
92,1.0,1.0,1,925,250,1st Avenue,Chula Vista,CA,32.6197,-117.0226,RentLingo,1577015266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
93,1.0,1.0,1,925,250,addressunknown,Glen Burnie,MD,39.1634,-76.6165,RentLingo,1577015099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
94,1.0,1.0,1,915,250,addressunknown,Highlands Ranch,CO,39.5516,-104.969,RentLingo,1577358488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
95,1.0,1.0,1,900,250,addressunknown,Laurel,MD,39.0976,-76.8614,RentLingo,1577359251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
96,1.0,1.0,1,900,250,addressunknown,Orlando,FL,28.5163,-81.3644,RentLingo,1577359122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
97,1.0,1.0,1,900,250,addressunknown,Boulder,CO,40.0213,-105.2552,RentLingo,1577358924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
98,1.0,1.0,1,900,250,addressunknown,Aurora,CO,39.6828,-104.8078,RentLingo,1577015097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
99,1.0,1.0,1,900,250,addressunknown,La Puente,CA,34.0291,-117.9457,RentLingo,1576666494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100,1.0,1.0,1,900,250,addressunknown,Anaheim,CA,33.8323,-117.9079,RentLingo,1575976769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
101,1.0,1.0,1,895,250,addressunknown,Commerce City,CO,39.8312,-104.8942,RentLingo,1577015009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
102,1.0,1.0,1,895,250,addressunknown,Arvada,CO,39.8228,-105.1107,RentLingo,1577015097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
103,1.0,1.0,1,875,250,addressunknown,Arlington,VA,38.8738,-77.1055,RentLingo,1577015322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
104,1.0,1.0,1,865,250,addressunknown,Naples,FL,26.1806,-81.7257,RentLingo,1577358931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
105,1.0,1.0,1,865,250,addressunknown,Atlanta,GA,33.7848,-84.3922,RentLingo,1577359222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
106,1.0,1.0,1,860,250,addressunknown,Sarasota,FL,27.3181,-82.4987,RentLingo,1577359138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
107,1.0,1.0,1,855,250,addressunknown,Aurora,CO,39.6828,-104.8078,RentLingo,1577359190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
108,1.0,1.0,1,850,250,addressunknown,Lorton,VA,38.69,-77.2065,RentLingo,1577359251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
109,1.0,1.0,1,850,250,145 S Grand St,Fort Lupton,CO,40.0994,-104.8079,RentLingo,1577358918,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
110,1.0,1.0,1,850,250,addressunknown,Woodbridge,VA,38.6487,-77.3152,RentLingo,1577359250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
111,1.0,1.0,1,850,250,22nd Avenue North,Nashville,TN,36.137,-86.783,RentLingo,1577359107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
112,1.0,1.0,1,850,250,addressunknown,Saint Petersburg,FL,27.7873,-82.6772,RentLingo,1577015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
113,1.0,1.0,1,850,250,addressunknown,Portland,OR,45.5091,-122.6449,RentLingo,1577014971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
114,1.0,1.0,1,825,250,addressunknown,Joppa,MD,39.4324,-76.3552,RentLingo,1577015366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
115,1.0,1.0,1,805,250,addressunknown,Atlanta,GA,33.7848,-84.3922,RentLingo,1577359229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
116,1.0,1.0,1,800,250,addressunknown,Broomfield,CO,39.9156,-105.0876,RentLingo,1577358924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
117,1.0,1.0,1,800,250,addressunknown,Englewood,CO,39.6169,-104.919,RentLingo,1577359189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
118,1.0,1.0,1,800,250,addressunknown,Potomac,MD,39.0287,-77.2409,RentLingo,1577359232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
119,1.0,1.0,1,800,250,addressunknown,Deltona,FL,28.905,-81.2156,RentLingo,1577359129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
120,1.0,1.0,1,800,250,addressunknown,Lodi,CA,38.1255,-121.2878,RentLingo,1577359136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
121,1.0,1.0,1,800,250,addressunknown,Jacksonville,FL,30.2989,-81.6324,RentLingo,1577014825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
122,1.0,1.0,1,795,250,addressunknown,Parker,CO,39.4904,-104.7265,RentLingo,1577359188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
123,1.0,1.0,1,785,250,addressunknown,Fountain,CO,38.6968,-104.6969,RentLingo,1577359135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
124,1.0,1.0,1,785,250,addressunknown,Fort Collins,CO,40.5649,-105.0824,RentLingo,1577358930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
125,1.0,1.0,1,760,250,addressunknown,Loveland,CO,40.4067,-105.0984,RentLingo,1577358930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
126,1.0,1.0,1,755,250,addressunknown,Longwood,FL,28.7026,-81.3885,RentLingo,1577359122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
127,1.0,1.0,1,755,250,addressunknown,Bear,DE,39.6103,-75.6896,RentLingo,1577358946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
128,1.0,1.0,1,755,250,addressunknown,Hummelstown,PA,40.2776,-76.7088,RentLingo,1577358630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
129,1.0,1.0,1,750,250,addressunknown,Riverside,CA,33.945,-117.4074,RentLingo,1577359206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
